Index,Abbreviated Journal Title,ISSN,2014 Total Cites,Impact Factor,5-Year Impact,Immediacy Index,2014 Articles,Cited Half-life,Eigenfactor Score,ArticleÿInfluence Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,J AGR ECON,0021-857X,971,"1,278","1,898",0.250,36,8.1,0.00204,0.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,EUR REV AGRIC ECON,0165-1587,873,"1,271","1,887",0.273,33,9.2,0.00169,0.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,APPL ECON PERSPECT P,2040-5790,253,"1,203","1,910",0.207,29,3.5,0.00190,0.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AGR ECON-BLACKWELL,0169-5150,1724,"1,193","1,485",0.956,68,8.0,0.00290,0.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AQUACULT ENG,0144-8609,1285,"1,181","1,502",0.150,60,8.9,0.00128,0.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PADDY WATER ENVIRON,1611-2490,442,"1,151","1,227",0.443,61,4.7,0.00111,0.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AUST J AGR RESOUR EC,1364-985X,595,"1,067","1,573",0.294,34,6.8,0.00144,0.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ANNU REV RESOUR ECON,1941-1340,197,"1,000","1,824",0.000,25,4.7,0.00201,"1,173",,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,J IRRIG DRAIN ENG,0733-9437,2693,0.974,"1,244",0.267,86,>10.0,0.00291,0.360,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CHINA AGR ECON REV,1756-137X,106,0.898,0.691,0.026,39,3.0,0.00061,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,T ASABE,2151-0032,7210,0.895,"1,173",0.176,165,>10.0,0.00613,0.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CAN J AGR ECON,0008-3976,453,0.855,"1,111",0.071,28,8.2,0.00098,0.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,AGRIBUSINESS,0742-4477,428,0.672,0.805,0.091,33,8.7,0.00062,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,REV BRAS ENG AGR AMB,1807-1929,1145,0.550,,0.078,180,5.5,0.00231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,J AGR RESOUR ECON,1068-5502,640,0.526,0.808,0.176,17,>10.0,0.00093,0.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,AGR ECON-CZECH,0139-570X,194,0.442,0.398,0.073,55,4.7,0.00039,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,APPL ENG AGRIC,0883-8542,1284,0.405,0.644,0.051,99,9.1,0.00171,0.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,INT FOOD AGRIBUS MAN,1559-2448,300,0.349,0.526,0.081,74,7.8,0.00044,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ENG AGR-JABOTICABAL,0100-6916,578,0.320,0.581,0.025,121,5.6,0.00102,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,GER J AGR ECON,0002-1121,77,0.245,,0.083,24,,0.00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AGREKON,0303-1853,127,0.183,0.376,0.000,19,7.1,0.00024,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,CUST AGRONEGOCIO,1808-2882,14,0.060,0.066,0.000,47,,0.00002,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,AMA-AGR MECH ASIA AF,0084-5841,62,0.009,0.027,0.000,53,,0.00004,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abbreviated Journal Title,ISSN,2014,Impact,5-Year,Immediacy,2014,Cited,Eigenfactor©,ArticleÿInfluence©,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Cites,Factor,Impact,Index,Articles,Half-life,Score,Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GENET SEL EVOL,0999-193X,1928,"3,821","4,404",0.574,68,5.8,0.00413,"1,166",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,J DAIRY SCI,0022-0302,33985,"2,573","3,071",0.489,771,9.6,0.03486,0.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ANIM GENET,0268-9146,3364,"2,207","2,611",0.351,131,6.4,0.00610,0.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DOMEST ANIM ENDOCRIN,0739-7240,1888,"2,171","2,150",0.283,53,8.8,0.00244,0.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,J ANIM SCI,0021-8812,26964,"2,108","2,586",0.430,572,>10.0,0.02444,0.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ANIM FEED SCI TECH,0377-8401,6945,"1,997","2,109",0.267,202,8.5,0.00921,0.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ANIMAL,1751-7311,3146,"1,841","2,040",0.506,253,4.1,0.01107,0.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,APPL ANIM BEHAV SCI,0168-1591,6948,"1,691","2,225",0.291,151,9.8,0.00709,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,J ANIM SCI BIOTECHNO,2049-1891,186,"1,681",,0.200,55,1.9,0.00071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,POULTRY SCI,0032-5791,13707,"1,672","1,936",0.290,369,>10.0,0.01233,0.420,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,J DAIRY RES,0022-0299,2831,"1,598","1,590",0.359,64,>10.0,0.00255,0.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,J ANIM BREED GENET,0931-2668,1184,"1,566","1,653",0.298,57,7.5,0.00201,0.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,J REPROD DEVELOP,0916-8818,1664,"1,515","1,591",0.125,72,6.0,0.00365,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,REPROD DOMEST ANIM,0936-6768,3303,"1,515","1,512",0.222,203,5.2,0.00755,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ANIM REPROD SCI,0378-4320,5912,"1,511","1,863",0.186,226,7.9,0.00854,0.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,J ANIM PHYSIOL AN N,0931-2439,1612,"1,406","1,417",0.171,140,5.5,0.00364,0.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,CZECH J ANIM SCI,1212-1819,680,"1,183","1,073",0.106,66,5.9,0.00122,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,LIVEST SCI,1871-1413,3720,"1,171","1,620",0.198,333,4.8,0.01166,0.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,SMALL RUMINANT RES,0921-4488,4343,"1,125","1,252",0.278,205,7.7,0.00569,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,WORLD POULTRY SCI J,0043-9339,1412,"1,089","1,450",0.121,58,10.0,0.00157,0.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,CAN J ANIM SCI,0008-3984,2011,"1,081","1,146",0.200,75,>10.0,0.00171,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ARCH ANIM NUTR,1745-039X,714,"1,000","1,199",0.143,35,8.7,0.00099,0.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ANIM SCI J,1344-3941,899,0.960,0.993,0.221,136,4.7,0.00215,0.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BRIT POULTRY SCI,0007-1668,3537,0.936,"1,203",0.073,109,>10.0,0.00236,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,AVIAN BIOL RES,1758-1559,119,0.928,0.678,0.286,28,2.6,0.00040,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,WORLD RABBIT SCI,1257-5011,392,0.821,0.901,0.188,32,9.3,0.00040,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,TROP ANIM HEALTH PRO,0049-4747,1936,0.817,0.895,0.224,223,4.8,0.00488,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,J POULT SCI,1346-7395,437,0.802,0.810,0.131,61,6.0,0.00085,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ANIM REPROD,1806-9614,243,0.784,,0.048,42,4.8,0.00073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,ANIM BIOTECHNOL,1049-5398,307,0.755,0.712,0.280,25,8.5,0.00035,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,INRA PROD ANIM,0990-0632,158,0.726,0.938,0.958,24,3.2,0.00024,0.160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,ANIM SCI PAP REP,0860-4037,337,0.718,"1,017",0.000,34,5.7,0.00063,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ITAL J ANIM SCI,1594-4077,886,0.718,0.641,0.177,124,5.8,0.00198,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,FOURRAGES,0429-2766,256,0.667,0.518,0.467,45,6.5,0.00014,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ACTA AGR SCAND A-AN,0906-4702,433,0.631,0.603,0.000,19,>10.0,0.00040,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ANN ANIM SCI,2300-8733,210,0.613,0.553,0.123,81,3.7,0.00045,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,J APPL POULTRY RES,1056-6171,1492,0.586,0.939,0.121,91,9.0,0.00173,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,J ANIM FEED SCI,1230-1388,561,0.543,0.694,0.133,45,8.4,0.00081,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,ASIAN AUSTRAL J ANIM,1011-2367,2173,0.541,0.757,0.097,226,7.3,0.00328,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ARCH GEFLUGELKD,0003-9098,387,0.531,0.612,,0,9.1,0.00043,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ZUCHTUNGSKUNDE,0044-5401,136,0.507,0.308,0.034,29,6.7,0.00022,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,S AFR J ANIM SCI,0375-1589,644,0.504,0.543,0.095,63,9.5,0.00061,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ARCH TIERZUCHT,0003-9438,456,0.503,0.522,0.061,33,6.7,0.00080,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,MLJEKARSTVO,0026-704X,121,0.481,0.472,0.031,32,4.9,0.00022,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,J APPL ANIM RES,0971-2119,279,0.435,0.353,0.064,78,5.2,0.00053,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,BRAZ J POULTRY SCI,1516-635X,367,0.429,0.557,0.047,64,7.7,0.00056,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,REV MEX CIENC PECU,2007-1124,67,0.400,0.397,0.188,32,,0.00020,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,REV BRAS ZOOTECN,1806-9290,2985,0.359,0.638,0.021,96,7.9,0.00528,0.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ITEA-INF TEC ECON AG,1699-6887,61,0.357,0.306,0.080,25,,0.00018,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,REV COLOMB CIENC PEC,0120-0690,106,0.353,0.348,0.000,32,4.2,0.00036,0.110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,LARGE ANIM REV,1124-4593,57,0.168,0.143,0.000,36,,0.00011,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,INDIAN J ANIM SCI,0367-8318,853,0.160,0.169,0.014,276,>10.0,0.00073,0.030,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,ANIM NUTR FEED TECHN,0972-2963,81,0.133,0.234,0.016,63,,0.00017,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,REV MVZ CORDOBA,0122-0268,88,0.104,0.225,0.053,38,,0.00033,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,INDIAN J ANIM RES,0367-6722,77,0.044,0.060,0.000,129,,0.00013,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,BUFFALO BULL,0125-6726,68,0.027,0.073,0.000,56,,0.00019,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,EUR POULTRY SCI,1612-9199,4,,,0.042,71,,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"AGRICULTURE, MULTIDISCIPLINARYÿ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abbreviated Journal Title,ISSN,2014,Impact,5-Year,Immediacy,2014,Cited,Eigenfactor©,ArticleÿInfluence©,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Cites,Factor,Impact,Index,Articles,Half-life,Score,Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AGR ECOSYST ENVIRON,0167-8809,13607,"3,402","3,987",0.854,329,7.8,0.02188,"1,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,J AGR FOOD CHEM,0021-8561,84847,"2,912","3,269",0.422,1498,8.9,0.09424,0.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AGR SYST,0308-521X,3720,"2,906","3,425",0.531,96,8.2,0.00585,"1,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ANN APPL BIOL,0003-4746,4166,"2,000","2,274",0.405,74,>10.0,0.00351,0.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PRECIS AGRIC,1385-2256,859,"1,929","1,978",0.220,41,5.7,0.00182,0.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,COMPUT ELECTRON AGR,0168-1699,3358,"1,761","2,091",0.309,181,6.0,0.00641,0.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,J SCI FOOD AGR,0022-5142,14421,"1,714","1,994",0.459,423,>10.0,0.01621,0.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,INT J AGR SUSTAIN,1473-5903,449,"1,659","2,537",0.552,29,3.9,0.00174,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BIOSYST ENG,1537-5110,3355,"1,619","1,960",0.378,156,6.7,0.00580,0.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AGR HUM VALUES,0889-048X,1132,"1,617","2,196",0.340,47,7.6,0.00222,0.760,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CROP PASTURE SCI,1836-0947,965,"1,483","1,586",0.784,116,3.5,0.00341,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,J SUSTAIN AGR,1044-0046,542,"1,372",0.893,,0,9.2,0.00068,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,RENEW AGR FOOD SYST,1742-1705,476,"1,355","1,399",0.156,32,6.2,0.00120,0.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ANIM PROD SCI,1836-0939,1381,"1,286","1,652",0.656,273,3.5,0.00438,0.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AGR FOOD SCI,1459-6067,447,"1,200","1,131",0.000,29,7.2,0.00077,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,J AGR SCI-CAMBRIDGE,0021-8596,2355,"1,157","1,706",0.165,91,>10.0,0.00256,0.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,NJAS-WAGEN J LIFE SC,1573-5214,622,"1,143","1,620",0.000,26,>10.0,0.00088,0.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PAK J AGR SCI,0552-9034,473,"1,049",,0.056,144,3.5,0.00077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CALIF AGR,0008-0845,623,0.951,"1,015",0.312,16,>10.0,0.00069,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,J AGR ENVIRON ETHIC,1187-7863,598,0.935,"1,131",0.115,52,8.2,0.00092,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,J INTEGR AGR,2095-3119,512,0.833,0.850,0.342,292,2.0,0.00136,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,SCI AGR,0103-9016,1503,0.809,"1,103",0.254,71,8.2,0.00236,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
